nome_fantasia,data_inicio_atividades,cnae_fiscal,cep,municipio,porte
A & B RECICLAGEM,20090902,4785799,43700971,3913,1
A & J CARGAS,20010816,4930202,43700000,3913,1
A & L MAGAZINE,19980202,4782201,46200000,3473,1
A A BRITO REPRESENTACOES DE MATERIAL DE CONSTRUCOES,20080303,4619200,46900000,3897,1
A A P R,19981127,9430800,45650780,3573,5
A B IMPORTADOS,19980401,4755502,48970000,3901,1
A BAHIA,20010417,4784900,45870000,3719,1
A BARATINHA,20070802,4713002,46790000,3601,1
A BARATINHA CONFECCOES,20051031,4781400,45600221,3597,1
A BENCAO,20040818,9430800,42804590,3413,5
A BICICLETA,19920630,4763603,42827702,3413,1
A BIOQUIMIKA FARMACIA DE MANIPULACAO,20050621,4771702,41800700,3849,1
A C A F A D,19990517,9430800,48790000,3937,5
A C ATACADO DE CIMENTO,20090911,4744099,47400000,3971,1
A C B C,19990426,9430800,46820000,3265,5
A C C,20010522,9430800,48700000,3909,5
A C C,19951227,9430800,48750000,3823,5
A C M,19961206,9430800,47520000,3565,5
A C P ENGENHARIA,19980119,7112000,41820020,3849,1
A CACULA CONFECCOES,19850510,4781400,45200005,3661,1
A CAMPONESA,20020729,4789099,45400000,3957,3
A CAMPONESA,20080815,4789099,46990000,3915,1
A CANTAINA,20140526,5611201,48904140,3669,1
A CASA DO CRIADOR,20051027,4771704,44695000,3083,1
A CENTRAL COMERCIO E SERVICOS,20100129,4744099,47990000,3521,1
A COMERCIAL JOIAS,19730919,4783101,46100000,3391,1
A COMPAT,20010618,9430800,44700000,3651,5
A COMUNIDADE RESTAURANDO VIDAS,20120307,9430800,45065170,3965,5
A CONQUISTADORA,19820712,4744099,45540000,3529,1
A CONSTRUCENTER METALURGICA,19860925,4687703,44110000,3515,1
A CONSTRUTORA,20090924,4744099,44245000,3469,3
A D C A S S Q,20051130,9430800,48565000,3043,5
A DISBAL,19940816,4754701,44635000,3997,5
A E L COMERCIO E SERVICOS,20100518,9511800,41181100,3849,1
A F CVONSTRUCOES,20100705,4330405,48760000,3341,1
A F MATERIAIS DE CONSTRUCAO,20090910,4744001,46100000,3391,1
A F P M M,19840606,9420100,44630000,3703,5
A FAZENDINHA PRODUTOS VETERINARIOS,19941010,4771704,48180000,3509,1
A FEIRITA DISTRIBUIDORA,20000113,4646002,44330000,3885,3
A FITA CONFECCOES,20070706,1414200,44020000,3515,1
A FORMULA,20040706,4771702,44075425,3515,3
A FORMULA,19881021,4771702,40070045,3849,5
A FORMULA,20011109,4771702,45653540,3573,3
A FORMULA,20070822,4771702,44700000,3651,3
A FORTIORI,19930903,1412601,46400000,3403,3
A FUNERARIA,19770201,4774100,45400000,3957,1
A G COMERCIAL DE ALIMENTOS E BEBIDAS,20020201,4729699,43900000,3883,1
A G MELLO REPRESENTACOES,20100621,4617600,45604030,3597,1
A G SERVICOS,20100525,4399199,45658630,3573,1
A GRACIOSA,20091218,4789001,47800130,3363,1
A GURILANDIA,19940119,4763601,48005180,3313,1
A IDEAL MODAS,19930201,4755501,45700000,3629,3
A IGREJA EM BARREIRAS,19981215,9491000,47801050,3363,5
A J REPRESENTACOES,19920514,4530706,45075075,3965,1
A L MERCADINHO,20100303,4712100,45640000,3317,1
A L O S SERVICOS,20080125,3702900,48760000,3341,1
A L S CELEULARES,20081014,4752100,44002000,3515,1
A M A,19880310,8711502,48730000,3467,5
A M E,20031024,9430800,48540000,3663,5
A M K,19940209,9430800,45325000,3385,5
A M MATERIAL DE CONSTRUCAO,19920117,4530706,43700000,3913,1
A M V M,19900903,8711502,43900000,3883,5
A MINEIRINHA,19971201,4754701,46750000,3739,3
A MIRASSOL MATERIAIS DE CONSTRUCAO,19930922,4744099,46430000,3533,1
A MISCELANIA ARMARINHO,19910206,4755502,40301155,3849,1
A MONARA,19890201,4753900,45450000,3523,1
A NATURAL,20010308,4789099,44695000,3083,1
A NONA,20040217,4755502,44001760,3515,3
A NOSSA DENTAL,20010809,4789099,45600010,3597,1
A P M (ASSOCIACAO DE PAIS E MESTRES DAS ESCOLAS,20031013,9430800,45452000,3009,5
A P P ASSOCIACAO DE PAIS E PROFESSORES,19990428,9430800,45740000,3519,5
A P P DE LEITE DE PALMEIRA E REGIAO,20071211,162899,44720000,3725,5
A P P R V - ASSOCIACAO,20070520,9499500,48110000,3449,5
A PANELA,20021220,4759899,41330020,3849,1
A PARCERIA CONSULT LTDA,20020130,6920601,45650025,3573,1
A PEDRA MISSELANIA,19871110,4744099,45725000,3857,1
A PONTUAL,19861009,2593400,46980000,3589,1
A POPULAR,20010911,4781400,45630000,3611,1
A POPULAR,19970102,4744005,45836000,3613,1
A PREDILETA,19860109,4759899,46880000,3595,1
A PRIMORDIAL,19771122,8230001,40060001,3849,5
A PRINCIPAL DOS TECIDOS,19940222,4781400,48970000,3901,3
A R C REPRESENTACOES,19920408,8130300,41100000,3849,1
A ROCA,19870127,4744005,45545000,3943,1
A S A MONTAGEM INDUSTRIAL,19991129,3321000,42800030,3413,5
A S ANDRESA DE SA FOTO & IMAGEM DIGITAL,20080602,7420004,41820000,3849,1
A S C O M,19880506,9430800,44895000,3075,5
A S CO B E C A N,20110829,9430800,48780000,3371,5
A S CONSTRUCOES,19790928,4120400,44020412,3515,5
A S CONSTRUTORA,20120330,4399103,47700000,3865,5
A S F L A M,20030808,9312300,41745130,3849,5
A SERTANEJA,19830905,4771704,46880000,3595,3
A SIMPATIA,19880610,9430800,46825000,3681,5
A SOLUCAO,19990211,4742300,44020122,3515,3
A SORTE E SUA,20040818,8299706,48520000,3085,1
A SOS MATERIAIS HOSPITALARES,20060327,4773300,40070055,3849,1
A T R I B COMERCIO E SERVICOS,20020307,4751201,48700000,3909,1
A TERAPEUTICA,19980618,4771702,40296210,3849,3
A TRIBO,20090831,4782201,44002034,3515,3
A U C B,20110505,9499500,46820000,3265,5
A VITORIA,20050310,4321500,44090640,3515,1
A Z CALCADOS,20040920,4782201,46760000,3543,1
A-ASOCOPO,19970523,9430800,47700000,3865,5
A. J. DISTRIBUIDORA,20120611,4619200,44900000,3593,1
A. K. C. V.,19991115,8591100,48890000,3959,5
A. L. B. A. CONFECCOES,20101203,4781400,40221220,3849,1
A. L. DISTRIBUIDORA,20040519,4772500,48750000,3823,1
A. M. E.,20110408,9430800,44380000,3495,5
A. S. EMPREENDIMENTOS,19951214,4744099,46600000,3919,3
A. SA TOUR,19990630,7020400,40296340,3849,1
A. V. MEDICINA,20100517,8640207,44571031,3873,3
A.B.C.P.A.S.N,20091013,9430800,48760000,3341,5
A.B.R.C.J.,19990823,9430800,48770000,3929,5
A.C. TECH,20070427,4751201,41181057,3849,1
A.C.A.M.S,20000822,9430800,48905350,3669,5
A.C.C,19981001,9430800,48750000,3823,5
A.C.M.,19980302,9430800,48750000,3823,5
A.C.M.D.I,20110622,9430800,45255000,3297,5
A.C.R.P,19990820,9430800,48790000,3937,5
A.C.REPRESENTACOES,20020920,4617600,48030640,3313,1
A.C.U.T,20080508,9499500,44905000,3973,5
A.D.L. ASSOCIACAO DESPORTIVA LUSACA,20070910,9312300,42850000,3087,5
A.D.U.R.,20050524,9319101,47100000,3353,5
A.F.F. REPRESENTACOES DE PRODUTOS ALIMENTICIOS LTDA,20070718,4617600,48450000,3457,1
A.M. MATERIAIS DE CONSTRUCAO,20110329,4744002,42820971,3413,1
A.M.J.,19970413,9430800,45310000,3941,5
A.M.M,19971219,9430800,41900475,3849,5
A.N. PROCESSAMENTO DE DADOS,19980831,6311900,41920260,3849,1
A.P DE OLIVEIRA,20080130,4729699,47850000,1112,1
A.P.M,19970620,9430800,45848000,3279,5
A.P.M.E.L.H.K,20000313,9430800,45460000,3969,5
A.P.M.E.M.A.S,20000313,9430800,45460000,3969,5
A.P.M.E.S.L,20000313,9430800,45460000,3969,5
A.P.P.M.E.U,20000313,9430800,45460000,3969,5
A.P.R.T.,20000509,9430800,45930000,3741,5
A.R. MULTI SERVICOS,20030509,7732201,44092734,3515,1
A.R.A,19991104,9430800,47200000,3821,5
A.R.C.A,19970901,9430800,45615000,3393,5
A.R.W . PECAS,20060517,4530703,48890000,3959,3
A.S.G.,20000920,9430800,44570535,3873,5
A.T.C.,19971215,9430800,44940000,3451,5
A.T.R.T.B,20041229,9430800,46820000,3265,5
A&C INFORTECH,20110930,9511800,40370560,3849,1
A&C INSTALACOES E COMERCIO LTDA,20100617,4520005,41500660,3849,1
A&FF MERCADINHO,20110707,4712100,44200000,3871,1
A+ MEDICINA DIAGNOSTICA,20090827,8640202,40260000,3849,5
A2 CORRETORA DE SEGUROS,20110311,6622300,48031070,3313,1
A3 ESTAGIO,20060908,7020400,41820021,3849,1
A4 AGRICOLA E PECUARIA,20110114,151201,45995971,3993,5
A4 AGRICOLA E PECUARIA,20110114,151201,45840000,3535,5
A4 AGRICOLA E PECUARIA,20110114,151201,45840000,3535,5
A5 ENTRETENIMENTO,20050125,7311400,41820908,3849,5
AA LAGOA DA VACA,20010207,9430800,48430000,3777,5
AABANEB,19770418,9312300,45650780,3573,5
AABB,19801219,9312300,45800000,3367,5
AABB,19720530,9312300,45605130,3597,5
AABB,19770405,9312300,46100000,3391,5
AABB,19771117,9319199,45970000,3621,5
AABB,19780904,9312300,44720000,3725,5
AABB,19690327,9312300,48970000,3901,5
AABB,19710628,9312300,48700000,3909,5
AABB,19780412,9312300,45545000,3943,5
AABB,19791123,9312300,46200000,3473,5
AABB,19800710,9312300,45580000,3559,5
AABBI,20030513,9430800,45570000,3579,5
AACACEMN,20000331,9430800,45960000,3723,5
AACG,20100628,9412099,44750000,3409,5
AACMC,19990716,9430800,43805970,3429,5
AACOSA,20000406,9430800,48435000,3253,5
AACOSNOT,19990203,9430800,48455000,3015,5
AACP,20060327,9430800,44910000,3071,5
AACSI,20011004,9430800,45700000,3629,5
AACSJ,20030403,8650099,48310000,3659,5
AACSMO,19980123,9430800,44718000,3017,5
AACSN,19990115,9430800,48870000,3979,5
AAFAM-CAATINGA,20140513,9430800,48920000,3669,5
AAFCC,20110808,9430800,45880000,3411,5
AAFI,20100503,9499500,46880000,3595,5
AALC,20040818,9430800,46400000,3403,5
AAMFLM,20091118,9430800,48520000,3085,5
AAPCMBA,19980817,9430800,40055010,3849,5
AAPG- ASSOCIACAO,20050819,9430800,48610000,3527,5
AAQALNA,20051123,9430800,44790000,3419,5
AASCEI,20010221,9430800,48850000,3641,5
AATICA,19890831,6821801,41810815,3849,1
AB2,20070321,8640208,48005140,3313,1
ABA TRANSFORMERSS,20110615,4520001,41295627,3849,1
ABABAS,19870407,9499500,41900540,3849,5
ABACAFE,20061024,9430800,47850000,1112,5
ABAETE DROGARIA E COSMETICOS,20100514,4771701,45260000,3803,3
ABAM,19980508,9430800,40020210,3849,5
ABAMU,19900424,9430800,47100000,3353,5
ABAPEQ,19881128,9430800,40110050,3849,5
ABARA E CIA DA ROSE,20111128,5611203,40365540,3849,1
ABAS,20021210,9430800,43900000,3883,5
ABASE,19730629,9430800,41750110,3849,5
ABATEDOURO ANTONIO FRAGA,19981008,4712100,44572090,3873,1
ABATEDOURO CANAA,20110121,4724500,48700000,3909,1
ABATEDOURO DE AVES COSTA,20120518,1012101,48330000,3841,1
ABATEDOURO DO POVO,20041222,4722901,45800000,3367,1
ABATEDOURO IRMAOS RONALDO,20110317,4712100,45807000,3855,1
ABATEDOURO NOSSA SENHORA DE FATIMA,19950720,4634601,44360000,3879,1
ABBY DESENVOLVIMENTO PROFISSIONAL,19940121,8599604,41820020,3849,1
ABC CONTABILIDADE,19910218,4761003,40020210,3849,1
ABC ELETRO,19890615,4754701,48903371,3669,5
ABC EMBALAGENS LTDA,20021230,4789099,42800047,3413,1
ABCCVRA,20050816,9430800,44635000,3997,5
ABCEGS,20090710,9430800,44600000,3581,5
ABD-RB,19990714,9412099,41940660,3849,5
ABECERV,19841231,9430800,44715000,3961,5
ABEL WALDEMIR DE LIMA COSTA,20110705,4520002,44135000,3515,1
ABELARDO IMOVEIS,20020202,6821801,41820021,3849,1
ABELHA VEICULOS,20040621,4511102,48970000,3901,1
ABELHEIS E COMPANNHIS COMIDA BAIANA,20070824,5620102,41620825,3849,1
ABELSA,19901011,9430800,48590000,3483,5
ABEMOJABA,20070716,9430800,48280000,3721,5
ABEPO,20091124,9430800,45028492,3965,5
ABESP,19920828,9430800,41770395,3849,5
ABFRUD,20090608,161099,48660000,3453,5
ABIATAR MODA FEMININA,20101005,4781400,41510000,3849,3
ABIB,19880725,8711502,44920000,3099,5
ABIDE,20010611,9430800,47810041,3363,5
ABIJCSUD,19991026,9491000,41820000,3849,5
ABMRB,19970922,9430800,45470000,3665,5
ABOA,19980519,9430800,44718000,3017,5
ABPI,20001207,9430800,45435000,3647,5
ABRE EMPREENDIMENTOS & PARTICIPACOES,20061127,7112000,40010020,3849,1
ABRIGO DRINK S DISTRIBUIDORA DE BEBIDAS E ALIMENTOS,20070718,4723700,48970000,3901,1
ABRMVG,20060201,9430800,44770000,3793,5
ABS - TRANSPORTES E COMERCIO,20090917,4930202,40445200,3849,1
ABS CONTABIL,20101110,6920601,44270000,3933,1
ABS DECORACOES,20090116,4744001,41720040,3849,1
ABSJ,20041103,9430800,48435000,3253,5
ABSOLUTA CENTRO ESTETICO,19810330,9602501,45820351,3117,1
ABSOLUTA SOLUCOES,20080319,6920601,41701015,3849,1
ABUMPA,19910125,9430800,44460000,3623,5
AC ACAJUTIBA,19771205,5310501,48360970,3305,5
AC AMARALINA,19740717,5310501,41900020,3849,5
AC ANDARAI,19740624,5310501,46830970,3325,5
AC ANDORINHA,19931103,5310501,48990000,3255,5
AC ANTAS,19740624,5310501,48420000,3331,5
AC APUAREMA,19931103,5310501,45355000,3257,5
AC ARATUIPE,19740624,5310501,44490000,3345,5
AC BARRO ALTO,19740711,5310501,44895970,3075,5
AC BOM JESUS DA LAPA,19740711,5310501,47600970,3377,5
AC BONINAL,19740711,5310501,46740970,3379,5
AC CABULA,19920412,5310501,41150000,3849,5
AC CANDEAL,19740624,5310501,48710000,3427,5
AC CENTRO ADMINISTRATIVO DA BAHIA,19750926,5310501,41745970,3849,5
AC COTEGIPE,19780309,5310501,47900000,3487,5
AC DARIO MEIRA,19750926,5310501,45590000,3499,5
AC GLORIA,19740709,5310501,48610000,3527,5
AC GUANAMBI,19740709,5310501,46430000,3533,5
AC GUARATINGA,19750926,5310501,45840000,3535,5
AC IBIPEBA,19740709,5310501,44970000,3547,5
AC IBOTIRAMA,19740705,5310501,47520000,3565,5
AC IGUAI,19740705,5310501,45280000,3571,5
AC INSTAL,20091207,3314710,45550000,3945,1
AC ITAGI,19740705,5310501,45230970,3603,5
AC ITAGUACU DA BAHIA,20031024,5310501,47440000,3281,5
AC ITAMARI,19771205,5310501,45455970,3615,5
AC ITINGA,20070814,5310501,42700130,3685,5
AC JUSSARI,19830721,5310501,45622970,3069,5
AC MALHADA DE PEDRAS,19740704,5310501,46110000,3707,5
AC MARAU,19740704,5310501,45520000,3715,5
AC MATA ESCURA,20090424,5310501,41225970,3849,5
AC MATINA,20020822,5310501,46480000,3295,5
AC MILAGRES,19740717,5310501,45315000,3727,5
AC MUNIZ FERREIRA,19740717,5310501,44575000,3745,5
AC NOVA REDENCAO,19931103,5310501,46835970,3011,5
AC PALMAS DE MONTE ALTO,19740717,5310501,46460000,3769,5
AC PINDAI,19740717,5310501,46360000,3791,5
AC PLANALTINO,19771205,5310501,45375000,3799,5
AC POJUCA,19740717,5310501,48120000,3805,5
AC QUEIMADAS,19740717,5310501,48860000,3817,5
AC RAFAEL JAMBEIRO,19870120,5310501,44520000,3985,5
AC RIO DO PIRES,19740717,5310501,46550000,3839,5
AC SANTA LUZIA,19861204,5310501,45865000,3987,5
AC SANTALUZ,19740717,5310501,48880000,3861,5
AC SAO FRANCISCO DO CONDE,19740717,5310501,43900000,3883,5
AC SAUBARA,19740717,5310501,44220970,3037,5
AC SENTO SE,19740717,5310501,47350000,3903,5
AC SERRA DOURADA,19740717,5310501,47740000,3905,5
AC SERROLANDIA,19790410,5310501,44710000,3911,5
AC SIMOES FILHO,19740717,5310501,43700000,3913,5
AC SUMARE,19931103,5310501,41820970,3849,5
AC TEOFILANDIA,19830721,5310501,48770000,3929,5
AC TRANSPORTES E TURISMO,20101214,4929902,40296190,3849,1
AC TREMEDAL,19740717,5310501,45170000,3935,5
AC VALENCA,19740717,5310501,45400000,3957,5
AC VARZEA DA ROCA,19870120,5310501,44635000,3997,5
AC XIQUE XIQUE,19740717,5310501,47400000,3971,5
ACA,19980806,9430800,46990000,3915,5
ACAAJA,19980514,9430800,44700000,3651,5
ACAAR,20030930,9430800,48850000,3641,5
ACAC,20020524,9430800,44750000,3409,5
ACACV,20070711,9430800,48800000,3731,5
ACADEMIA ACAO,20090924,9313100,40720272,3849,1
ACADEMIA AUTO ESTIMA,20111230,9313100,44700000,3651,1
ACADEMIA BELLA FORMA,19961125,9602502,47850000,1112,1
ACADEMIA BELLA VITA,20080411,8591100,41940426,3849,1
ACADEMIA BOA FORMA,20040817,5611203,47600000,3377,1
ACADEMIA CORPO EM FORMA,20081231,9313100,44620000,3351,1
ACADEMIA DE GISNASTICA & MUSCULACAO ARENA I,20081205,9313100,42800049,3413,1
ACADEMIA EMBALO CORPORE,20000816,9313100,44380000,3495,1
ACADEMIA EQUILIBRIO FITNESS,20120110,9313100,45230000,3603,1
ACADEMIA ERGHOS,20090420,9313100,46140000,3691,1
ACADEMIA ESCALADA DA SAUDE,20120504,9313100,46750000,3739,1
ACADEMIA INFINITI,20100224,9313100,48500000,3513,1
ACADEMIA JC,19961230,9313100,46760000,3543,1
ACADEMIA JILCINHO,20090401,9313100,44250000,3477,1
ACADEMIA METAMORFOSE FITNESS,19970627,9313100,42808180,3413,5
ACADEMIA MUSCULOS,20030819,9602502,42800029,3413,1
ACADEMIA N K FITNESS,20100108,9313100,44380000,3495,1
ACADEMIA PLOC CENTER,20020228,9313100,41260085,3849,1
ACADEMIA POINT FITNESS,20110204,9313100,48420000,3331,1
ACADEMIA POS TREINO,20120419,9313100,46400000,3403,1
ACADEMIA PRAZER DE DANCAR,20100924,8592901,40100160,3849,1
ACADEMIA SHALON FITNESS,20120209,9313100,43850000,3889,1
ACADEMIA SUPERACAO,20040316,9313100,47810840,3363,1
ACADEMIA UIBAI FITNESS,20091204,9313100,44950000,3947,1
ACADEMIA WINNER,20111118,9313100,44021225,3515,1
ACAFV,20010122,9430800,48925000,3045,5
ACAI,19971022,9430800,48490000,3575,5
ACAJ,20080418,9001999,44840000,3925,5
ACAJUTIBA PREFEITURA GABINETE DO PREFEITO,19741230,8411600,48360000,3305,5
ACAL,19951123,9430800,48760000,3341,5
ACAL PRODUCOES,19991108,7312200,40280000,3849,1
ACALV,19980714,9430800,44910000,3071,5
ACAMB,19870223,9430800,44930000,3813,5
ACAMPAMENTO MAANAIM,19810821,5620103,44150000,3851,1
ACAMPO HOLDING - COMPRA E VENDA DE IMOVEIS LTDA,19950727,6810201,45200030,3661,5
ACAO DISTRIBUIDORA,20010110,4693100,45051070,3965,3
ACAO SOCIAL BEIJA-FLOR,20060822,9430800,44400000,3751,5
ACAO TUPINAMBA,20030829,9430800,45668000,3573,5
ACAP,19931230,9430800,45860000,3425,5
ACAPS,20041025,9430800,44798000,3047,5
ACAPSAL,20030429,9430800,48603970,3781,5
ACAPSD,20030429,9430800,48603970,3781,5
ACAQSA,20001227,9430800,44790000,3419,5
ACARAJE DA BETE,20070104,5611203,42700130,3685,1
ACARAJE DA NOEMIA,20120417,5612100,42705560,3685,1
ACARAJE DA TATY,20100517,5612100,41275188,3849,1
ACARAJE DI MAINHA,20101022,5611201,45570000,3579,1
ACAS,19910521,9499500,41194130,3849,5
ACASA,19980213,9430800,47580000,3733,5
ACASSELB,20001017,9430800,48800000,3731,5
ACAT,20040718,9430800,48720000,3683,5
ACATAR,19940826,9430800,46300000,3399,5
ACAVAM,20010629,8591100,48860000,3817,5
ACB,19900810,9430800,46140000,3691,5
ACBADEVIC,19871117,9430800,45025060,3965,5
ACBAFS,20050823,9430800,44006170,3515,5
ACBCAA,20061018,9499500,44645000,3081,5
ACBE,19870526,9430800,48750000,3823,5
ACBHA,19980807,9430800,44330990,3885,5
ACBPD,19960429,9430800,46500000,3697,5
ACBSPA,20050427,9430800,41515230,3849,5
ACC,20061227,9499500,44640000,3827,5
ACC MATERIAIS DE CONSTRUCAO E TRANSPORTES,19920422,4744099,44052026,3515,3
ACCBCZP,20060515,9430800,44068050,3515,5
ACCBS,19970911,9430800,48780000,3371,5
ACCBV,19881124,8800600,44635000,3997,5
ACCC,20081117,9430800,48890000,3959,5
ACCCBA,19881117,9430800,41630340,3849,5
ACCGA,19980706,9430800,44110000,3515,5
ACCM,20021209,9430800,45810000,3807,5
ACCS SHOPPING CENTER,19960307,7020400,40015000,3849,1
ACCSA,19900518,9430800,46500000,3697,5
ACD,20110713,9430800,45855000,3627,5
ACDCS,20021207,8730199,48750000,3823,5
ACDP,20110207,9499500,45980000,3811,5
ACE,20110128,9499500,46800000,3845,5
ACE - ASSOCIACAO COMUNIDADE ESCOLAR,19990430,9430800,46500000,3697,5
ACE ALLPURPOSE COMUNICATION & EXCHANGE,19980303,8593700,45605351,3597,1
ACEB,20041028,8599604,40040465,3849,5
ACEES,20070129,9499500,44642000,3007,5
ACEK,19981029,9430800,48780000,3371,5
ACEMAP,19990526,8513900,48780000,3371,5
ACEPA,19971201,9430800,46400000,3403,5
ACEROLA MODA INFANTIL,20090909,4781400,44002088,3515,1
ACERTE CONCURSOS,20090205,8599605,40280000,3849,3
ACESSO INFORMATICA,19990416,6209100,44900000,3593,1
ACESSO LIVRE INFORMATICA,20040916,4751201,44380000,3495,1
ACESSORAUTO,20030317,4530703,45700000,3629,1
ACESSUBA,20000425,9430800,46400000,3403,5
ACFC,19980619,9430800,46100000,3391,5
ACFLEX EQUIPAMENTOS INDUSTRIAIS,20100315,4789099,40445200,3849,1
ACFMD,19960509,9430800,44600000,3581,5
ACFPBS,20000417,9430800,48925000,3045,5
ACFPTNP,19990903,9430800,47300000,3443,5
ACHIEVE,20101118,8593700,45020705,3965,1
ACI,19830325,8640202,45600290,3597,1
ACIAJ,19960620,9430800,48960000,3655,5
ACIMAC,19950619,9430800,46500000,3697,5
ACJB,20000506,9430800,48400000,3833,5
ACLC,20051101,9430800,48895000,3029,5
ACLF,20000427,9430800,48750000,3823,5
ACLG,20000131,9430800,44720000,3725,5
ACLGBA,19971110,9430800,44380000,3495,5
ACLIMAR CLIMATIZAAO,20100622,4322302,40080001,3849,1
ACMB,20010918,9430800,45602748,3597,5
ACMJT,20100812,9499500,48005135,3313,5
ACMP,19980116,9430800,46980000,3589,5
ACMV,20010508,9430800,46820000,3265,5
ACO BRUMADO,20080828,4744001,46100000,3391,3
ACO CAMACARI,20110311,2511000,42850000,3087,1
ACO FORTE,20100720,4744001,44478000,3963,1
ACOB,20051129,9430800,48605140,3781,5
ACOBB,19871029,9430800,48005135,3313,5
ACOBES,19960530,9430800,47590000,3583,5
ACOBID,20050214,9430800,43850000,3889,5
ACOF - ASSISTENCIA CLINICA OFTALMOLOGICA,20010517,8630503,40050405,3849,3
ACOFLEX,19961112,4754701,46165000,3501,3
ACOGUE DO CEZAR,20080721,4722901,46500000,3697,1
ACOJAB,20050620,9430800,44780000,3335,5
ACOJAP,20030327,9430800,46490000,3569,5
ACOKORT INDUSTRIA E COMERCIO DE MOVEIS LTDA,19980325,2399101,40450050,3849,1
ACOM DIGITAL,20050811,4751201,47802016,3363,1
ACOMAC-BA,19780131,9411100,41820790,3849,5
ACOMBACE,19980703,9430800,46330000,3689,5
ACOMPAR,19870205,9430800,44700000,3651,5
ACOMQST,20070130,9430800,44790000,3419,5
ACOMT,19890708,9430800,44720000,3725,5
ACONCHEGO,20060724,8712300,40050300,3849,1
ACONCHEGO DO EGIDIO,20021129,5620101,48601295,3781,1
ACOPA,20060905,9430800,48760000,3341,5
ACOPALG,20050801,163600,46300000,3399,5
ACOPAT,20010201,9430800,44695000,3083,5
ACOPAVIN,19880531,9430800,40830710,3849,5
ACOS CAMPINENSE,20090821,4744001,48500000,3513,1
ACOS TRANSPORTES,20060412,7719599,48880000,3861,1
ACOTANQ,20031203,4744099,48620000,3527,1
ACOUGUE BOI BOM E MERCADINHO DOIS IRMAOS,20001229,4729699,46530000,3381,1
ACOUGUE BOI BONITO,20080509,4722901,47803240,3363,1
ACOUGUE BOI BONITO,20080416,5611204,47810641,3363,1
ACOUGUE CARNE DO SERTAO,20110322,4722901,45810000,3807,1
ACOUGUE CENTRAL,20080801,4722901,45928000,3761,1
ACOUGUE CONDOMINIO 2000,20101123,4722901,45818000,3807,1
ACOUGUE DO JOHNYE,20120402,4722901,44850000,3735,1
ACOUGUE DO MARCOS,20100513,4722901,44940000,3451,1
ACOUGUE DO SISI,20110131,4722901,45900000,3437,1
ACOUGUE E FRIOS DO NENGA,20061108,4722901,45177000,3271,1
ACOUGUE E MERCADO O PAO CASEIRO,20090417,4712100,45300000,3319,1
ACOUGUE E MERCEARIA CARNE BOA,19980213,4722901,45855000,3627,1
ACOUGUE E MERCEARIA CENTER CARNE D R,20060720,4722901,45750000,3625,1
ACOUGUE MENDES,20100419,4722901,46445000,3441,1
ACOUGUE MIRANDA,20110318,4722901,47520000,3565,1
ACOUGUE RESTAURANTE E HOTEL XAVIER,20111214,4722901,47600000,3377,1
ACOUGUE RODRIGUES,20111214,4722901,45066043,3965,1
ACOUGUE SAO JORGE,19960125,4722901,40411380,3849,1
ACOUGUE SAO JOSE,19980217,4722901,48880000,3861,1
ACOUGUE SOUZA,20120519,4722901,46350000,3951,1
ACP SEGURANCA,19990609,4649401,42701450,3685,5
ACPAFSP,20020507,9430800,44695000,3083,5
ACPAQA,20120104,9430800,48880000,3861,5
ACPC,19960717,9430800,47200000,3821,5
ACPCRSF,19990114,322101,48601190,3781,5
ACPD,20001010,9430800,44930000,3813,5
ACPHML,20061127,9430800,48880000,3861,5
ACPPCLFLC,20001130,9430800,46500000,3697,5
ACPPR DE MUQUEM DO PEIXE,19961029,9430800,44892000,3423,5
ACPPRCQL DE SAUDE,20071004,9430800,44745000,3729,5
ACPPRVM,19951113,9430800,48601190,3781,5
ACPRBV,19960125,9430800,46360000,3791,5
ACPRV,20080716,9499500,46530000,3381,5
ACPS CONTABILIDADE,20090826,6920601,41600610,3849,3
ACPVC,19950620,9430800,45180000,3323,5
ACQBDA,20091119,9430800,44700000,3651,5
ACQEP,20030227,9430800,44300000,3397,5
ACQUAAROMA,20010529,4772500,42701340,3685,1
ACQUABAHIA,20040506,4759899,45985669,3993,1
ACQUATIME AMBIENTAL,19970926,4789005,42710610,3685,3
ACQV,20091222,9430800,46900000,3897,5
ACR - ADMINISTRACAO DE CONDOMINIOS RESIDENCIAIS,19990312,8219999,40157250,3849,1
ACR CONSTRUTORA,20071106,4213800,42703080,3685,3
ACRAPMAEPRE,20090303,9499500,45490000,3677,5
ACRC,19980127,9430800,44565000,3049,5
ACRE CONTADORES ASSOCIADOS,19821019,6920601,41830380,3849,3
ACREC,20020412,9430800,48130000,3343,5
ACREDITE,20070823,9430800,45000240,3965,5
ACRIL SILK,19910521,4781400,40445170,3849,5
ACRIVAC,20111109,162899,47640000,3863,5
ACRMI,20060621,9430800,45545000,3943,5
ACROB,19991227,9430800,47530000,3765,5
ACRSB,20050615,9430800,44720000,3725,5
ACS MATOS ASSISTENCIA TECNICA E REPRESENTACOES,19920605,4773300,45208743,3661,1
ACSB,20040115,9430800,45030170,3965,5
ACSVER,20051003,9430800,48903970,3669,5
ACTION FITNESS,20031222,9313100,41810010,3849,1
ACTIVE COSMETICOS E PERFUMARIA,20020419,4772500,46860000,3537,5
ACTO,19910902,8650003,40170130,3849,1
